"Sort","Site","Date","time collected","time burnt","BurnSession","replicate","species_code","species_name","Taxonomic_status","Accepted_name","Accepted_family","growth_form","Vegtype","TimeToFlaming(s)","PostBurntMassEstimate(%)","MaximumFlameTemperature(°C)","blowtorch","FlammabilityIndex","FMC(%)","FMC_proportion","DataSource","Origin"
32,"Cederberg",2024-12-10,"AM","15:46","2PM - 5PM",3,"RESSIE","Restio sieberi","Accepted","Restio sieberi","Restionaceae","Herb","Fynbos",120,70,338.2,1,1.15636856368564,36.9565217391304,0.369565217391304,"PhD","Native"
33,"Cederberg",2024-12-10,"AM","15:50","2PM - 5PM",3,"PROLAU","Protea laurifolia","Accepted","Protea laurifolia","Proteaceae","Shrub","Fynbos",76,5,678.9,0,1.26667123412807,47.136340598074,0.47136340598074,"PhD","Native"
34,"Cederberg",2024-12-10,"PM","16:12","2PM - 5PM",3,"PASTRU","Passerina truncata","Accepted","Passerina truncata","Thymelaeaceae","Shrub","Fynbos",36,85,381.5,0,2.0677430650711,39.3731635651322,0.393731635651322,"PhD","Native"
35,"Cederberg",2024-12-10,"PM","16:18","2PM - 5PM",3,"RESSIE","Restio sieberi","Accepted","Restio sieberi","Restionaceae","Herb","Fynbos",5,15,537.3,0,1.786436923358,51.6778523489933,0.516778523489933,"PhD","Native"
36,"Cederberg",2024-12-10,"PM","16:27","2PM - 5PM",3,"PROLAU","Protea laurifolia","Accepted","Protea laurifolia","Proteaceae","Shrub","Fynbos",21,10,665.3,0,1.76046481532231,48.8056810845707,0.488056810845707,"PhD","Native"
37,"Cederberg",2024-12-10,"PM","18:21","4PM - 6PM",1,"WIDCED","Widdringtonia cedarbergensis","Accepted","Widdringtonia cedarbergensis","Cupressaceae","Tree","Fynbos",25,30,515.9,0,1.75037072561737,48.7479131886478,0.487479131886478,"PhD","Native"
38,"Cederberg",2024-12-10,"PM","18:25","4PM - 6PM",2,"WIDCED","Widdringtonia cedarbergensis","Accepted","Widdringtonia cedarbergensis","Cupressaceae","Tree","Fynbos",120,85,379,1,1.36462196644438,53.9123630672927,0.539123630672926,"PhD","Native"
39,"Cederberg",2024-12-10,"PM","18:30","4PM - 6PM",3,"WIDCED","Widdringtonia cedarbergensis","Accepted","Widdringtonia cedarbergensis","Cupressaceae","Tree","Fynbos",31,30,634.4,0,1.84831080052374,55.5826426133593,0.555826426133593,"PhD","Native"
40,"Cederberg",2024-12-10,"PM","18:37","4PM - 6PM",4,"WIDCED","Widdringtonia cedarbergensis","Accepted","Widdringtonia cedarbergensis","Cupressaceae","Tree","Fynbos",15,40,567.3,0,2.00275189549648,56.1346863468635,0.561346863468635,"PhD","Native"
41,"Cederberg",2024-12-10,"PM","18:42","4PM - 6PM",5,"WIDCED","Widdringtonia cedarbergensis","Accepted","Widdringtonia cedarbergensis","Cupressaceae","Tree","Fynbos",28,50,567.6,0,1.99967114277884,56.26204238921,0.5626204238921,"PhD","Native"
42,"Cederberg",2024-12-11,"AM","13:41","10AM - 1PM",1,"STOPLU","Stoebe plumosa","Synonym","Seriphium plumosum","Asteraceae","Shrub","Fynbos",120,10,490.4,1,0.717112755397217,44.3123938879457,0.443123938879457,"PhD","Native"
43,"Cederberg",2024-12-11,"AM","14:04","2PM - 5PM",1,"ACRHUN","Acrosanthes humifusa","Accepted","Acrosanthes humifusa","Aizoaceae","Herb","Fynbos",20,90,300,0,2.15176760756372,55.1633986928105,0.551633986928105,"PhD","Native"
44,"Cederberg",2024-12-11,"AM","14:20","2PM - 5PM",1,"PELSCA","Pelargonium scabrum","Accepted","Pelargonium scabrum","Geraniaceae","Shrub","Fynbos",80,95,257.6,0,1.65127279924485,52.0574162679426,0.520574162679426,"PhD","Native"
45,"Cederberg",2024-12-11,"AM","14:25","2PM - 5PM",1,"ELYGNA","Elytropappus gnaphaloides","Synonym","Myrovernix gnaphaloides","Asteraceae","Shrub","Fynbos",11,35,574.6,0,1.99275981242959,31.0786106032907,0.310786106032907,"PhD","Native"
46,"Cederberg",2024-12-11,"AM","14:29","2PM - 5PM",1,"DODVIS","Dodonaea viscosa","Accepted","Dodonaea viscosa","Sapindaceae","Shrub","Fynbos",28,25,692.5,0,1.89340610821839,47.9892761394102,0.479892761394102,"PhD","Native"
