"unique_ID","scientific_name_original","genus_MG","family_MG","scientific_name_WFO","scientific_name_authorship","family_WFO","latitude","longitude","subregion","replicate","date","collector","sample","num_leaves","leaf_area_cm2","leaf_length_cm","avg_leaf_width_cm","max_leaf_width_cm","leaf_thickness_mm","leaf_fresh_wgt_g","leaf_dry_wgt_g","twig_fresh_g","twig_dry_g","lma","fwc","succulence","ldmc","lwr","twig_fwc"
"726_7_baviaanskloof","Crassula ericoides","Crassula","Crassulaceae","Crassula ericoides","Haw.","Crassulaceae",-33.55142,24.04194,"baviaanskloof","3",2011-07-26,"ASH",7,"140",7.45,0.4,0.13,0.17,0.6,0.355,0.072,0.086,0.038,0.00966443,3.930555556,0.037986577,0.202816901,3.076923077,1.263157895
"726_8_baviaanskloof","Ehrharta calycina","Ehrharta","Poaceae","Ehrharta calycina","Sm.","Poaceae",-33.55142,24.04194,"baviaanskloof","1",2011-07-26,"ASH",8,"3",14.24,13.3,0.3,0.5,0.23,0.285,0.088,0.148,0.055,0.006179775,2.238636364,0.01383427,0.30877193,44.33333333,1.690909091
"726_8_baviaanskloof","Ehrharta calycina","Ehrharta","Poaceae","Ehrharta calycina","Sm.","Poaceae",-33.55142,24.04194,"baviaanskloof","3",2011-07-26,"ASH",8,"3",6.09,13.4,0.2,0.3,0.17,0.146,0.047,0.144,0.049,0.00771757,2.106382979,0.016256158,0.321917808,67,1.93877551
"726_8_baviaanskloof","Ehrharta calycina","Ehrharta","Poaceae","Ehrharta calycina","Sm.","Poaceae",-33.55142,24.04194,"baviaanskloof","2",2011-07-26,"ASH",8,"4",5.95,11.5,0.2,0.2,0.144,0.129,0.039,0.109,0.033,0.006554622,2.307692308,0.01512605,0.302325581,57.5,2.303030303
"726_9_baviaanskloof","Crassula pubescens","Crassula","Crassulaceae","Crassula pubescens","Thunb.","Crassulaceae",-33.55142,24.04194,"baviaanskloof","2",2011-07-26,"ASH",9,"1",4.53,4.3,1.1,1.6,5.7,1.71,0.124,0.648,0.237,0.027373068,12.79032258,0.350110375,0.07251462,3.909090909,1.734177215
"726_9_baviaanskloof","Crassula pubescens","Crassula","Crassulaceae","Crassula pubescens","Thunb.","Crassulaceae",-33.55142,24.04194,"baviaanskloof","1",2011-07-26,"ASH",9,"1",4.19,3.6,1.2,1.8,6.6,1.675,0.114,0.402,0.135,0.027207637,13.69298246,0.372553699,0.068059701,3,1.977777778
"726_9_baviaanskloof","Crassula pubescens","Crassula","Crassulaceae","Crassula pubescens","Thunb.","Crassulaceae",-33.55142,24.04194,"baviaanskloof","3",2011-07-26,"ASH",9,"1",5.55,5.1,1.1,1.8,6,2.05,0.113,0.465,0.15,0.02036036,17.14159292,0.349009009,0.055121951,4.636363636,2.1
"729_1_htr","Stachys rugosa","Stachys","Lamiaceae","Stachys rugosa","Aiton","Lamiaceae",-31.42739,19.7757,"htr","3",2014-07-29,"BHR",1,"18",3.11,1,0.3,0.5,0.489,0.095,0.048,0.159,0.081,0.015434084,0.979166667,0.01511254,0.505263158,3.333333333,0.962962963
"729_1_htr","Stachys rugosa","Stachys","Lamiaceae","Stachys rugosa","Aiton","Lamiaceae",-31.42739,19.7757,"htr","2",2014-07-29,"BHR",1,"12",6.41,1.9,0.5,0.8,0.447,0.195,0.078,0.091,0.045,0.012168487,1.5,0.01825273,0.4,3.8,1.022222222
"729_1_htr","Stachys rugosa","Stachys","Lamiaceae","Stachys rugosa","Aiton","Lamiaceae",-31.42739,19.7757,"htr","5",2014-07-29,"BHR",1,"18",4.92,1.3,0.3,0.6,0.364,0.128,0.055,0.182,0.098,0.011178862,1.327272727,0.014837398,0.4296875,4.333333333,0.857142857
